F
5	2	9
1650	1679	1675
1143	1053	1188
1677	1676	1668
1677	1668	1669
1667	1676	1666
1667	1668	1676
1633	1679	1650
1407	1366	1367
598	552	553
59	31	60
27	9	28
30	9	31
30	31	56
1006	961	1007
1098	1053	1143
10	1	11
107	106	73
8	7	9
6	5	9
6	9	7
3	2	5
39	69	38
1365	1324	1366
1674	1675	1679
1678	1677	1669
1678	1679	1677
1056	1102	1101
1147	1101	1102
1147	1102	1148
1147	1148	1193
1442	1404	1443
103	102	69
221	222	261
223	222	185
223	224	263
223	185	224
184	185	222
184	148	185
1664	1650	1675
1368	1367	1326
1325	1283	1326
1325	1366	1324
1325	1326	1367
1325	1367	1366
1282	1325	1324
1282	1283	1325
1200	1244	1199
1200	1199	1154
1242	1286	1285
1242	1285	1241
1242	1241	1197
1329	1330	1371
878	925	924
606	605	560
737	738	784
644	645	690
644	690	689
251	252	292
504	460	549
731	685	1053
639	685	684
287	246	460
287	460	372
61	60	31
58	59	90
58	31	59
53	27	28
29	28	9
29	9	30
226	225	188
190	228	189
388	387	345
1142	1097	1098
1142	1098	1143
1232	1188	1275
1358	1188	1398
730	684	685
730	685	731
868	822	823
960	959	914
960	961	1006
960	915	961
960	914	915
1052	1053	1098
1052	1007	1053
1052	1006	1007
1052	1098	1097
582	537	583
498	542	497
498	497	453
16	5	6
16	38	37
210	250	249
132	96	97
208	207	170
208	170	171
4	3	5
4	14	3
13	2	3
13	3	14
68	38	69
68	37	38
68	69	102
18	7	8
21	9	22
74	107	73
1672	1679	1671
1654	1669	1668
1099	1054	1100
1055	1054	1008
1055	1100	1054
1055	1101	1100
1055	1056	1101
1057	1102	1056
1477	1478	1514
1146	1100	1101
1146	1101	1147
1194	1238	1193
1194	1193	1148
1196	1195	1150
1196	1197	1241
1480	1442	1443
1480	1516	1479
262	222	223
262	223	263
262	261	222
111	146	110
183	146	184
183	182	146
183	222	221
183	184	222
220	221	261
220	182	183
220	183	221
1213	1256	1212
1213	1212	1168
1213	1168	1169
1663	1664	1675
1248	1290	1247
1444	1482	1443
1444	1443	1404
1405	1445	1444
1405	1444	1404
1374	1414	1413
1374	1413	1373
1331	1330	1288
1372	1412	1371
1372	1413	1412
1372	1373	1413
1372	1331	1373
1372	1371	1330
1372	1330	1331
1239	1283	1282
1239	1282	1238
1239	1238	1194
1239	1194	1195
1201	1244	1200
1284	1241	1285
1284	1326	1283
1327	1368	1326
1327	1326	1284
1327	1284	1285
1327	1369	1368
1243	1286	1242
1243	1199	1244
1198	1242	1197
1198	1199	1243
1198	1243	1242
1019	1020	1065
971	924	925
1064	1065	1110
1064	1063	1017
1108	1062	1063
1108	1107	1062
1158	1202	1157
1111	1110	1065
929	928	883
884	885	930
884	929	883
884	930	929
1014	1060	1013
877	831	878
877	878	924
875	922	921
968	1015	1014
968	921	922
967	921	968
967	1014	1013
967	968	1014
1010	1057	1056
650	697	696
650	604	605
649	695	694
649	604	650
649	650	696
649	696	695
603	602	558
559	605	604
559	560	605
559	603	558
559	604	603
561	606	560
561	515	516
561	560	515
599	598	553
511	467	512
466	467	511
601	646	645
601	602	646
692	739	738
692	738	737
830	784	831
830	831	877
785	738	739
785	784	738
785	831	784
735	689	690
735	690	736
691	736	690
691	737	736
691	690	645
691	692	737
691	645	646
691	646	692
783	737	784
783	830	829
783	784	830
783	829	782
783	782	736
783	736	737
643	644	689
643	689	688
643	598	599
643	599	644
380	424	423
295	336	294
295	294	254
293	292	252
548	504	549
371	415	414
371	372	415
416	372	460
416	415	372
458	414	415
545	501	546
545	590	544
592	546	547
683	639	684
89	58	90
94	61	95
91	59	60
91	90	59
92	127	126
92	126	91
92	60	61
92	91	60
152	190	189
52	53	84
52	27	53
55	30	56
55	29	30
81	115	114
79	47	48
149	148	112
887	932	886
486	485	441
227	189	228
227	188	189
227	226	188
346	388	345
1512	1475	1398
1512	1578	1546
1512	1474	1475
1436	1435	1396
1436	1474	1435
1436	1475	1474
1545	1544	1509
1545	1546	1578
1545	1578	1544
1187	1188	1232
1187	1186	1142
1187	1143	1188
1187	1142	1143
1231	1232	1275
1231	1275	1274
1231	1274	1230
1231	1230	1186
1231	1186	1187
1231	1187	1232
776	822	821
776	730	731
777	776	731
777	823	822
777	822	776
867	821	822
867	822	868
869	868	823
869	823	777
869	915	914
869	914	868
869	961	915
869	1007	961
869	777	731
869	1053	1007
869	731	1053
538	537	493
538	493	494
538	583	537
454	498	453
454	453	410
499	454	455
499	498	454
904	949	903
1051	1052	1097
1051	1006	1052
1185	1230	1229
